x,y,z
0.2460995032,-1.103126176,-0.4292110887
-0.7179337691,1.013051117,-0.3345841403
1.156789002,-0.188542573,-0.5806497955
-0.7642815503,-0.7734990673,-0.2062479158
0.03105109469,0.9721550423,-0.2387624293
0.704377781,-0.8299372759,-0.3745045385
-1.283455558,-0.1778774176,-0.1306709527
0.8154768496,0.8804948187,-0.3267963875
-0.4128820951,-1.144150144,-0.1723987503
-0.4786002228,1.002714661,-0.2934258273
1.043281058,-0.4336560369,-0.4700048416
-0.9915505087,-0.52765354,-0.2121146697
0.3637463148,0.9358368325,-0.2662336092
0.4183535232,-1.006463164,-0.4044343326
-0.8113283585,1.002426523,-0.4071987141
1.156721331,-0.03726650893,-0.6865627231
-0.629017861,-0.9276710247,-0.2232984385
-0.1739186088,0.9805202815,-0.275890458
0.8439531694,-0.6754218147,-0.4077532505
-1.188525303,-0.3045411004,-0.1909402767
0.658739802,0.8958233436,-0.3207274898
0.1237041953,-1.110529408,-0.4897060608
-0.6293412938,0.9998373775,-0.3555675114
1.103859796,-0.2665214202,-0.5544745966
-0.8590245708,-0.6855086865,-0.2466195323
0.158291306,0.948765789,-0.2859184383
0.583288614,-0.8835484506,-0.4019581649
-1.331881152,-0.1314884642,-0.1476045575
0.8804030102,0.8565063759,-0.3973635977
-0.5023099921,-1.0684985,-0.2298714865
-0.3635429056,0.9848252543,-0.3234876899
0.9563070889,-0.5111454366,-0.4624403712
-1.075109509,-0.4478009413,-0.2418365279
0.477202756,0.9108991569,-0.3240308317
0.2930526532,-1.032169394,-0.4536783214
-0.7439619637,0.9920402895,-0.4244602489
1.126011152,-0.1091100373,-0.6527590064
-0.7244466055,-0.8413648613,-0.2700345443
-0.0472930587,0.9588333526,-0.3166867608
0.7324391281,-0.7403000162,-0.4221832547
-1.251477414,-0.2438250357,-0.2118769097
0.7440497007,0.8710818804,-0.3872980681
0.008301085822,-1.102992359,-0.5569056255
-0.5287237842,0.9845780316,-0.3803714902
1.035894279,-0.344827606,-0.53613867
-0.9493753734,-0.6005332665,-0.2823354042
0.2802256142,0.9246360349,-0.3377279832
0.4597907945,-0.9253864979,-0.4389441516
-0.8174270711,0.9794472088,-0.4979214579
0.9268913616,0.8336678218,-0.469737373
-0.5947699278,-0.9877736874,-0.2827309376
-0.2428541975,0.9652453507,-0.3581649696
0.8582600831,-0.5836034066,-0.4643390586
-1.150034877,-0.3758803079,-0.2676536216
0.5789091014,0.8859818434,-0.3857280572
0.1715557825,-1.043553326,-0.510905147
-0.6617421493,0.9795273764,-0.4448974973
1.078929938,-0.1841885868,-0.6254757078
-0.8180400799,-0.755223871,-0.3119615729
0.07783476346,0.9360315652,-0.3622914874
0.6152604351,-0.7954432985,-0.4464662426
-1.30267991,-0.1949241973,-0.2301693412
0.8126969158,0.8471191723,-0.4565060473
-0.4765970336,-1.117878919,-0.2856271815
-0.4189007566,0.967407394,-0.4094325531
0.9545179275,-0.4209391631,-0.5265348977
-1.033261452,-0.5209417107,-0.31367427
0.3937258362,0.9001128855,-0.3939110756
0.3367789475,-0.9540556755,-0.4848861302
-0.7566540016,0.9696738692,-0.5150508433
1.083574157,-0.03654059749,-0.7263210165
-0.6880099352,-0.9043696475,-0.3308088368
-0.1198143735,0.9442194976,-0.3976248611
0.7515175379,-0.6487207281,-0.4760413554
-1.214708429,-0.3138615835,-0.2900984045
0.6663433373,0.8614445406,-0.4507916563
0.056636374,-1.040054598,-0.5750187804
-0.5671002451,0.9649545478,-0.4690761172
1.01660916,-0.2599799221,-0.605870975
-0.907569993,-0.6717281291,-0.3492042132
0.1981454276,0.9124388761,-0.4125787162
0.4952444673,-0.8390562937,-0.4803416249
-1.341182424,-0.1591509248,-0.2465367896
0.8630975456,0.8242608929,-0.5276312343
-0.5660109276,-1.040877844,-0.339529596
-0.3029793501,0.9485145372,-0.4430733013
0.8617483583,-0.492367179,-0.5263226061
-1.10876718,-0.4489795572,-0.3410401397
0.4958632095,0.8755584173,-0.4540624431
0.2171679153,-0.9685116332,-0.5389509481
-0.6807120237,0.9577685097,-0.5352697214
1.041789687,-0.1081789548,-0.6986032802
-0.7797287623,-0.8207844262,-0.3740685227
0.002189922906,0.9220357047,-0.4419028906
