model,true_torus_distance,learned_distance
r2_gw,0.8360212445259094,0.6572237014770508
r2_gw,0.09387049823999405,0.006057566497474909
r2_gw,0.3562849164009094,0.48355594277381897
r2_gw,0.4238395690917969,0.5266726613044739
r2_gw,0.4400005340576172,0.19353601336479187
r2_gw,0.7098618745803833,0.6294670104980469
r2_gw,0.9065062403678894,0.7018566131591797
r2_gw,0.5858457088470459,0.5748356580734253
r2_gw,0.36710748076438904,0.22865915298461914
r2_gw,0.41885507106781006,0.6019465327262878
r2_gw,0.3227885663509369,0.4708854556083679
r2_gw,0.15144741535186768,0.030356507748365402
r2_gw,0.26506292819976807,0.06395471096038818
r2_gw,0.7260636687278748,0.6623464822769165
r2_gw,0.5433802008628845,0.061011530458927155
r2_gw,0.7362068295478821,0.6511467099189758
r2_gw,0.5037966966629028,0.5854405164718628
r2_gw,0.6353128552436829,0.055293068289756775
r2_gw,0.677454948425293,0.503780722618103
r2_gw,0.5190284252166748,0.5842856764793396
r2_gw,0.7659897804260254,0.7228289246559143
r2_gw,0.9396837949752808,0.6744359135627747
r2_gw,0.5329930186271667,0.472812682390213
r2_gw,0.23464399576187134,0.35209745168685913
r2_gw,0.8683801293373108,0.6043084859848022
r2_gw,0.38093018531799316,0.5588338971138
r2_gw,0.6701684594154358,0.6494520306587219
r2_gw,0.8028170466423035,0.5538673996925354
r2_gw,0.47830021381378174,0.059518638998270035
r2_gw,0.42244967818260193,0.5362311005592346
r2_gw,0.5822300910949707,0.6468527913093567
r2_gw,0.4384884834289551,0.023731296882033348
r2_gw,0.7594465017318726,0.5833252668380737
r2_gw,0.40026965737342834,0.44817227125167847
r2_gw,0.7281366586685181,0.4663934111595154
r2_gw,0.045821238309144974,0.08056169003248215
r2_gw,0.8004825115203857,0.6005244851112366
r2_gw,0.5560430884361267,0.6037125587463379
r2_gw,0.3609611392021179,0.3995997905731201
r2_gw,0.8212133049964905,0.7155936360359192
r2_gw,0.7686335444450378,0.6844992637634277
r2_gw,0.3579011559486389,0.36134037375450134
r2_gw,0.44116106629371643,0.5563071370124817
r2_gw,0.8041103482246399,0.5863115787506104
r2_gw,0.6285566687583923,0.7125416994094849
r2_gw,0.4508422911167145,0.39565446972846985
r2_gw,0.4030672013759613,0.20280826091766357
r2_gw,0.555292010307312,0.2259460836648941
r2_gw,0.5920040607452393,0.7622280716896057
r2_gw,0.20905332267284393,0.3671395182609558
r2_gw,0.418244332075119,0.4497973620891571
r2_gw,0.9525507092475891,0.6132029294967651
r2_gw,0.25253424048423767,0.18188300728797913
r2_gw,0.6081061959266663,0.5737805366516113
r2_gw,0.7440950274467468,0.7292283177375793
