shape,relative_edge_noise,seed,stage,alpha,edge_stress,convexity_penalty,local_convex_max_signed
sphere,0.005,0.0,3.0,0.07500000000000001,2.207933780750403e-10,0.0,-0.06766863570338663
sphere,0.005,0.0,4.0,0.1,3.5664386430559e-10,0.0,-0.06749882231709758
sphere,0.005,0.0,5.0,0.125,4.640503379538815e-10,0.0,-0.06733060433471519
sphere,0.005,0.0,6.0,0.15000000000000002,5.696286459948689e-10,0.0,-0.06716322556582655
sphere,0.005,0.0,7.0,0.17500000000000002,7.286528372641103e-10,0.0,-0.06699646521543298
sphere,0.005,0.0,8.0,0.2,8.885951762918204e-10,0.0,-0.06683095653732343
sphere,0.005,0.0,9.0,0.225,9.804617734051487e-10,0.0,-0.06666720784271926
sphere,0.005,0.0,10.0,0.25,1.1437771334670066e-09,0.0,-0.06650384633793434
sphere,0.005,0.0,11.0,0.275,1.2106239730207747e-09,0.0,-0.06634014237677772
sphere,0.005,0.0,12.0,0.30000000000000004,1.4006069556858018e-09,0.0,-0.06617969209649298
sphere,0.005,0.0,13.0,0.325,1.5839650483772198e-09,0.0,-0.06601941406393501
sphere,0.005,0.0,14.0,0.35000000000000003,1.7617768993895528e-09,0.0,-0.0658605733749076
sphere,0.005,0.0,15.0,0.375,1.923490627377535e-09,0.0,-0.06570094414021681
sphere,0.005,0.0,16.0,0.4,2.0701715836779123e-09,0.0,-0.06554789650723265
sphere,0.005,0.0,17.0,0.42500000000000004,2.0917716084947327e-09,0.0,-0.06538728276788994
sphere,0.005,0.0,18.0,0.45,2.2544343405887685e-09,0.0,-0.06523260370580322
sphere,0.005,0.0,19.0,0.47500000000000003,2.391366485320006e-09,0.0,-0.06508032747835238
sphere,0.005,0.0,20.0,0.5,2.2125158021062914e-09,0.0,-0.06492896952359373
sphere,0.005,0.0,21.0,0.525,2.381554931911312e-09,0.0,-0.06477389662255817
sphere,0.005,0.0,22.0,0.55,2.380265451168654e-09,0.0,-0.06462313911617007
sphere,0.005,0.0,23.0,0.5750000000000001,2.4280118308163217e-09,0.0,-0.06447525842885792
sphere,0.005,0.0,24.0,0.6000000000000001,2.607793652810973e-09,0.0,-0.0643277636474882
sphere,0.005,0.0,25.0,0.625,2.8008968496120154e-09,0.0,-0.06417985317759618
sphere,0.005,0.0,26.0,0.65,2.982118360233257e-09,0.0,-0.0640326307228709
sphere,0.005,0.0,27.0,0.675,2.997384367986907e-09,0.0,-0.0638839170815157
sphere,0.005,0.0,28.0,0.7000000000000001,2.927088702610717e-09,0.0,-0.06373888123502272
sphere,0.005,0.0,29.0,0.7250000000000001,2.945678189104615e-09,0.0,-0.06359544434018745
sphere,0.005,0.0,30.0,0.75,3.083613328199229e-09,0.0,-0.06345696107685873
sphere,0.005,0.0,31.0,0.775,3.060829922500236e-09,0.0,-0.06331067613749923
sphere,0.005,0.0,32.0,0.8,3.2712663813595797e-09,0.0,-0.06317250691817027
sphere,0.005,0.0,33.0,0.8250000000000001,3.477105108075152e-09,0.0,-0.06303255037487758
sphere,0.005,0.0,34.0,0.8500000000000001,3.678032293615637e-09,0.0,-0.06289338084091574
sphere,0.005,0.0,35.0,0.875,1.0224106809289777e-10,0.0,-0.06276269295609087
sphere,0.005,0.0,36.0,0.9,1.2462067336046587e-10,0.0,-0.06262349260891784
sphere,0.005,0.0,37.0,0.925,3.325688376786777e-10,0.0,-0.06248625487249645
sphere,0.005,0.0,38.0,0.9500000000000001,6.079274613812814e-10,0.0,-0.06235101325126139
sphere,0.005,0.0,39.0,0.9750000000000001,9.034109860435745e-10,0.0,-0.062216337404266436
sphere,0.005,0.0,40.0,1.0,1.2049618544638536e-09,0.0,-0.062082369884057034
sphere,0.005,1.0,0.0,0.0,1.8020799234288586e-33,0.0,-0.06820194247642478
sphere,0.005,1.0,1.0,0.025,4.445513251548727e-11,0.0,-0.06813305534558362
sphere,0.005,1.0,2.0,0.05,1.5069130134854348e-10,0.0,-0.06806511787233242
sphere,0.005,1.0,3.0,0.07500000000000001,2.800912382018968e-10,0.0,-0.0679983048031615
sphere,0.005,1.0,4.0,0.1,4.188216277286507e-10,0.0,-0.06793263480818888
sphere,0.005,1.0,5.0,0.125,5.655043464763148e-10,0.0,-0.06786788657190301
sphere,0.005,1.0,6.0,0.15000000000000002,6.989013807330864e-10,0.0,-0.06780366998328091
sphere,0.005,1.0,7.0,0.17500000000000002,8.401576032193444e-10,0.0,-0.06774063415670657
